epoca,train_loss,val_loss,val_env,val_acc,val_forces,lr
1,0.45964062432050706,0.1016850315451622,0.06585619970560073,0.008809869961440564,0.007283636847883463,0.001
2,0.08212183445692062,0.06999359736442566,0.049034836012125015,0.003535275564342737,0.005555284107476473,0.001
3,0.054950087895989416,0.034871588695049284,0.026720244428515436,0.0014114376351237296,0.002131387647613883,0.001
4,0.019215579630434514,0.010313546326756478,0.004035739433765412,0.000768161095213145,0.0018965938616544008,0.001
5,0.006989249522238969,0.004958248457312584,0.0016929307233542203,0.0005692529553547502,0.0008507247264496982,0.001
6,0.0046641702260822055,0.004311017940938472,0.0016427097506821157,0.0004956039272248745,0.0006708401351235806,0.001
7,0.003942353973537684,0.002964460548758507,0.0010035517297685146,0.00046164126857183875,0.000415050515672192,0.001
8,0.0032660509537905456,0.003711358577385545,0.0014441546509042383,0.00045699238837696614,0.0005412876635789871,0.001
9,0.0030971627978608014,0.0025031005281955,0.0006516983930021524,0.00041860001496970656,0.0004056808448862284,0.001
10,0.0027032909208908676,0.0025245937168598175,0.0010410509746521712,0.0003981299549806863,0.0002749131341697648,0.001
11,0.002835377820953727,0.0023787704024463893,0.0006962614873424173,0.00038688582126051186,0.0003634949111845344,0.001
12,0.002509992399998009,0.0022030756298452615,0.0007063704302534462,0.00041361463945358993,0.0002677903635194525,0.001
13,0.0025248467365279795,0.0019013886399567128,0.0005964154610410332,0.0003784086128696799,0.00021926237975712865,0.001
14,0.0022774335050955415,0.0017905450670048595,0.0004247903261333704,0.0003958433745894581,0.00022962719788774847,0.001
15,0.0021953162007033824,0.0018586932461708784,0.0002957766788080335,0.0003734211310278624,0.0003264297265559435,0.001
16,0.00214775460511446,0.0018346840988844634,0.0004323360660113394,0.00037403259556740523,0.0002617131399689242,0.001
17,0.001987142346985638,0.0017673512417823076,0.00037865772070363166,0.0003782689856830984,0.00025286222472786904,0.001
18,0.0019758812353014945,0.0015631382089108228,0.000304091016901657,0.0003691986518446356,0.00020825995553750546,0.001
19,0.0018716193564236165,0.0019345574157312512,0.0008646679809316993,0.0003647953006438911,0.0001361195318750106,0.001
20,0.0019003780905157328,0.0018745512848719955,0.0003164459456689656,0.0003813031494151801,0.00031819961559958755,0.001
21,0.0018097715536132455,0.0013465054057538509,0.00020484407520852984,0.00036662877295166256,0.00016336151163559408,0.001
22,0.0017802799410186708,0.0016044212164357304,0.0002807073245290667,0.0003649814930744469,0.0002375003598164767,0.001
23,0.0017462230512872339,0.0022207271557301285,0.0003099579568952322,0.00037062977785244584,0.0004678038591053337,0.001
24,0.001743617073073983,0.0014368787297978998,0.00033998193847946823,0.00036840968639589844,0.00014403096805326642,0.001
25,0.0017829666454344988,0.0016146180881187319,0.0002715559049975127,0.0003792045803274959,0.00023386121233925222,0.001
26,0.001594928980898112,0.0014805846063420177,0.00024354651956819,0.0003599437554832548,0.0002068602313520387,0.001
27,0.001684372519608587,0.0017080332636833192,0.0004988344190642237,0.0003818897749762982,0.00017816771485377103,0.0005
28,0.0010629514548927545,0.0011559655664488673,0.00019417953388765454,0.0003601512690540403,9.659339874051511e-05,0.0005
29,0.0011693191468715668,0.0012874002596363425,0.00011804883703589439,0.0003469040527008474,0.00019021732781548053,0.0005
30,0.0012062759018503129,0.0011426933854818344,0.00016618684601271526,0.00034623534088023004,0.00011361434259451926,0.0005
31,0.0012081757674925028,0.0013805643871426581,0.00032609936259686946,0.00033846153654158115,0.00015101678010541946,0.0005
32,0.0012020268806256355,0.0013733889708295464,0.0002546793672721833,0.00034561714199371637,0.00017099012967664747,0.0005
33,0.0012062473088502884,0.0011356337368488311,0.00012448190988507122,0.0003438181192614138,0.00012940623692702502,0.0005
34,0.0011962653597816825,0.0010141529077664017,0.00011235268377931789,0.0003445684305857867,8.506534592015668e-05,0.0005
35,0.0012037867283448576,0.001146472530066967,0.00017593495226465167,0.0003498295223340392,0.00010835141354473308,0.0005
36,0.0011922076837159693,0.001034622267819941,0.00012233287985436618,0.00034842777014710007,8.617353780427948e-05,0.0005
37,0.0011855105131864548,0.00109397650398314,0.0001344160501146689,0.0003490095141809434,0.00010461656907573342,0.0005
38,0.0011950196035206318,0.0012428909413516522,0.0003531699092593044,0.00033707086225040256,8.623172325314954e-05,0.0005
39,0.00118869687654078,0.0011079570496454836,0.0001371319075115025,0.00034944565943442285,0.00010877353118266911,0.0005
40,0.0011739455976523458,0.0012849170699715615,0.00011863141184439883,0.0003602137972600758,0.00017834322641137988,0.00025
41,0.0009521407426334918,0.0009274831028655171,9.676731978543102e-05,0.0003358278498519212,6.362403364037163e-05,0.00025
42,0.0009596598750911653,0.0009429144818335772,9.762455575400964e-05,0.0003448453200981021,6.223971518338658e-05,0.00025
43,0.0009940261216834188,0.0009974526988342405,9.891710875090211e-05,0.0003453714137431234,8.311710600974038e-05,0.00025
44,0.000993227771576494,0.0009350584836676717,0.00010501844715327024,0.00033345753557514397,6.524998464738019e-05,0.00025
45,0.0009828068952076137,0.0010219433326274156,0.00020080524531658738,0.00033475046590901913,6.0654861171497034e-05,0.00025
46,0.0009968604591675102,0.0009321779491379857,9.776982398470864e-05,0.0003368425201391801,6.428923342027701e-05,0.00025
47,0.0009786308056674898,0.0009858273576945067,0.00013115467033348978,0.0003371566609013826,7.214374494506046e-05,0.000125
48,0.0008896646775305271,0.0009121577790006995,9.675237451447173e-05,0.0003358496370958164,5.7482454809360206e-05,0.000125
49,0.0008995870943181216,0.000896553778462112,8.994733040453866e-05,0.0003352341405348852,5.445526794646867e-05,0.000125
50,0.0009040683805011212,0.0008960180887952446,9.267376920906827e-05,0.0003316615796415135,5.6008464051410555e-05,0.000125
51,0.0008997827423736453,0.0009185623187571764,0.00010883027913514524,0.0003369159305468202,5.4360069864196705e-05,0.000125
52,0.0009088831235654652,0.0009449229329824447,8.831407614052296e-05,0.0003352411589119583,7.445061414036899e-05,0.000125
53,0.0008985421977937222,0.0009242845620028675,0.00010265341142658144,0.00033496681726537643,6.067900638445281e-05,0.000125
54,0.0008978538049384952,0.0009990722910501063,0.00010144384254235774,0.00034106405372731386,8.620013615582138e-05,0.000125
55,0.0008976827900856733,0.0009223198464140296,9.25402186694555e-05,0.0003370361239183694,6.228295010514557e-05,0.000125
56,0.0008998412935994566,0.0009282081903889775,0.0001125634262803942,0.0003340691674267873,5.9002571000019086e-05,6.25e-05
57,0.0008612854588776826,0.0008848527694121003,8.810340140480548e-05,0.0003341473535867408,5.138186373515054e-05,6.25e-05
58,0.0008620439539663493,0.0009022667891345919,0.00011109397260006517,0.0003362720406847075,4.745149164809846e-05,6.25e-05
59,0.0008665905654430389,0.0008839546973817051,8.445375096052885e-05,0.00033430596811231223,5.2355604659533126e-05,6.25e-05
60,0.0008602905348874629,0.0008842664024792612,8.062027567066252e-05,0.00033454820564948024,5.38198861933779e-05,6.25e-05
61,0.0008646539258770644,0.0008739760706201196,9.709489184897393e-05,0.00032781013883650305,4.850435937696602e-05,6.25e-05
62,0.0008621001495979727,0.000858953248988837,8.466104485560208e-05,0.00032722408580593764,4.793761310575064e-05,6.25e-05
63,0.0008608002361841499,0.0008551343110390008,8.129589147865773e-05,0.00032630010060966016,4.849528832128272e-05,6.25e-05
64,0.0008577067349106074,0.0008718367852270603,8.20457864785567e-05,0.0003278812998905778,5.361135874991305e-05,6.25e-05
65,0.0008595560693182051,0.0008719970148056746,9.489619797095656e-05,0.00032758413408882914,4.877301839296706e-05,6.25e-05
66,0.000856992719322443,0.0008649540909565985,8.337038829922677e-05,0.00032979805758222937,4.879503601114266e-05,6.25e-05
67,0.0008549717562273144,0.0008659293858334422,9.234354412183165e-05,0.00032863757447339594,4.6524277175194584e-05,6.25e-05
68,0.0008578385599888861,0.0008700162923894822,8.864362365566194e-05,0.000327280625840649,5.072456867201254e-05,6.25e-05
69,0.0008543722162954509,0.0009353354383260012,0.00014743924420326947,0.0003292681525927037,5.174395548528992e-05,3.125e-05
70,0.0008356809466145932,0.0008454118288122118,7.942355882842093e-05,0.0003269662095233798,4.482233951566741e-05,3.125e-05
71,0.0008374319323338568,0.0008517980302684009,7.795704626478255e-05,0.0003291689447592944,4.620123782660812e-05,3.125e-05
72,0.0008393905438482762,0.0008494730513542891,8.488333213608711e-05,0.0003272034538909793,4.407312519033439e-05,3.125e-05
73,0.0008367865586653352,0.000852511240169406,7.798816913273185e-05,0.0003269122276455164,4.827944689895958e-05,3.125e-05
74,0.000837824719492346,0.0008481373727321625,8.11068634269759e-05,0.00032856058678589763,4.3963734954013487e-05,3.125e-05
75,0.0008385425693355501,0.0008602324847131967,8.823067126795649e-05,0.00032874821689911186,4.58021520084003e-05,3.125e-05
76,0.0008369813475757837,0.0008712610627524555,8.321471964009105e-05,0.00033233794695697723,4.934818122419529e-05,1.5625e-05
77,0.0008276810383424163,0.0008427610067650676,7.681316044181585e-05,0.0003279089371673763,4.405198840831872e-05,1.5625e-05
78,0.0008271876579150557,0.0008526391047984362,7.766954232938587e-05,0.0003309888831805438,4.5196717692306266e-05,1.5625e-05
79,0.0008288397905416787,0.0008395511726848781,7.756170472130179e-05,0.0003276422242168337,4.268200831429567e-05,1.5625e-05
80,0.0008276875538751483,0.0008389100749045611,7.539911987259984e-05,0.00032693371134810147,4.3857413675868887e-05,1.5625e-05
81,0.000841258766874671,0.0008445997275412083,7.863997210515663e-05,0.0003300338170025498,4.2356847261544315e-05,1.5625e-05
82,0.0008393277780152857,0.000841931763663888,7.881054049357772e-05,0.0003283800278324634,4.254446542472578e-05,1.5625e-05
83,0.0008369424623437226,0.0008448599893599749,7.996814089128748e-05,0.00032875130949541927,4.29556913790293e-05,1.5625e-05
84,0.0008361616685055196,0.0008453635631129146,7.859170957235619e-05,0.0003284911431372166,4.3915828497847545e-05,1.5625e-05
85,0.0008342395799234509,0.0008389126053079963,7.678965621162205e-05,0.0003276118379086256,4.2759709636447954e-05,1.5625e-05
86,0.0008333878820762038,0.0008403586668893695,7.645012760767713e-05,0.00033003550046123567,4.1535014688270167e-05,7.8125e-06
87,0.0008288285128772259,0.00083454680852592,7.549678302602843e-05,0.0003275782642420381,4.1557400225428864e-05,7.8125e-06
88,0.0008286428609862923,0.0008351200103759765,7.739034675760195e-05,0.00032756964066065847,4.1036152915330604e-05,7.8125e-06
89,0.0008284828907810152,0.0008315796984359622,7.47936765779741e-05,0.0003275266129989177,4.0693117753835394e-05,7.8125e-06
90,0.0008274824634194374,0.0008331373948603869,7.555402810685337e-05,0.0003273113751783967,4.1184247384080666e-05,7.8125e-06
91,0.0008279931971803307,0.0008318180968984962,7.441784328548238e-05,0.0003272566996049136,4.115474344580434e-05,7.8125e-06
92,0.0008271097155287862,0.0008364409163594246,7.722373160067945e-05,0.00032793305544182656,4.134042858495377e-05,7.8125e-06
93,0.0008265160785987973,0.000832335789874196,7.460237374762073e-05,0.000327444242592901,4.113797273603268e-05,7.8125e-06
94,0.0008268359877169132,0.000834988028369844,7.592813046649099e-05,0.0003283608853816986,4.0935250889742745e-05,7.8125e-06
95,0.000827619285788387,0.0008326312039047479,7.572521817637608e-05,0.0003274753880221397,4.0782085264800114e-05,3.90625e-06
96,0.000823584888316691,0.0008292089885100722,7.451155262533576e-05,0.00032709389277733864,4.0203860023757445e-05,3.90625e-06
97,0.0008234479861333967,0.0008297201361507177,7.35711227520369e-05,0.0003270717164967209,4.080223189084791e-05,3.90625e-06
98,0.0008234849003143609,0.0008298536093905568,7.379806622629985e-05,0.00032750989845953883,4.0414299682015555e-05,3.90625e-06
99,0.0008237329910509288,0.0008289760291576386,7.338286347221583e-05,0.00032718591992743313,4.0488529769936574e-05,3.90625e-06
100,0.0008232288820669055,0.0008303088545799256,7.378401586320251e-05,0.0003278862757142633,4.030091341701336e-05,3.90625e-06
