epoca,train_loss,val_loss,val_env,val_truc,val_acc
1,0.37244101998806,0.16078464670181275,0.1023203538775444,0.0012481748120859266,0.05721611766815186
2,0.11752002934217454,0.08987107315063476,0.06182391097545624,0.0006364481039345264,0.0274107140481472
3,0.06896118827462196,0.05624346799850464,0.03240261660814285,0.0009598821552470327,0.022880969327688218
4,0.038429704919457436,0.030361763513088225,0.009571918123215437,0.0003501653000712395,0.02043968015909195
5,0.02688604932129383,0.024668640911579134,0.006173978739231825,0.00017837602100335062,0.018316286158561706
6,0.023520417308807374,0.022734135216474532,0.0048203433852642774,0.00015679630092345177,0.01775699553489685
7,0.021678159713745117,0.020607274627685548,0.00382627564445138,0.0001542076743906364,0.016626791349053382
8,0.020244708448648452,0.019889107447862625,0.003457075913250446,0.0001359376825625077,0.01629609383940697
9,0.019317992447316648,0.018718554532527923,0.003249827152490616,0.00010971893405076116,0.015359008404612542
10,0.01873432143032551,0.01928868703842163,0.0027738811518996953,0.00031607516850344836,0.01619873069226742
11,0.0178188012085855,0.018937965375185013,0.0038386584565043447,0.0001485105422558263,0.014950796398520469
12,0.017308826128393413,0.017606800431013106,0.002721203527599573,0.000273112122528255,0.014612484791874885
13,0.01700917562916875,0.016306595957279204,0.0017376873586326838,0.00026108957878313957,0.014307819053530693
14,0.016282536202669142,0.01572175756394863,0.0014565080802887678,9.228590198326855e-05,0.014172963580489159
15,0.015834930951148272,0.01649723547101021,0.001575668700784445,9.94705667719245e-05,0.014822096234560014
16,0.015745263375341892,0.02200301757454872,0.008016647642850877,0.0001277706545777619,0.013858599215745926
17,0.015253629637509585,0.01705332297384739,0.0028333172973245384,9.583364950958639e-05,0.014124171954393387
18,0.015140631511807442,0.017798562321066858,0.0012826420972123743,0.00010425235739676282,0.01641166788339615
19,0.014969842913746834,0.01606786152422428,0.0013934947445988655,0.00010923237362876535,0.014565134406089782
20,0.014667232929170132,0.014601219528913498,0.0009062185969203711,8.100022412836552e-05,0.013614000698924064
21,0.01522628785893321,0.013680181069672108,0.0009203666986897588,9.420730805722997e-05,0.012665607104077934
22,0.014845508468151093,0.01446635549813509,0.0011110499809496104,9.881686350563541e-05,0.013256488700583578
23,0.014746415558457375,0.014131943651661276,0.001253863865043968,5.9809359430801125e-05,0.012818270413205027
24,0.014529062080383301,0.013916056111454963,0.0008165050565265119,6.463434030301869e-05,0.013034916769713164
25,0.01446636050194502,0.014238989800214768,0.0012877638678997754,0.00013294294425286352,0.012818283000960946
26,0.014254196363687516,0.013649012218043209,0.0005300377717707306,8.267880855128168e-05,0.01303629563935101
27,0.014162696795910597,0.013963083031773568,0.0010477815587073564,6.415182572090999e-05,0.012851149694249034
28,0.014122919356822968,0.013551562811434268,0.0006131719086319208,0.0001503023913362995,0.012788088504597544
29,0.014038146115094423,0.013685019142180682,0.0009236699595116079,4.576230851816945e-05,0.012715586865320802
30,0.013836481904238463,0.01293399724289775,0.0005454252826515585,5.012261423980817e-05,0.012338449254631996
31,0.013877505867183209,0.013780136101692915,0.000534325604699552,8.156338155968115e-05,0.013164247129485012
32,0.013768355601280927,0.016797514386475088,0.0007191844889894128,4.0782155113993214e-05,0.016037547700852157
33,0.013844850087165832,0.01398396340534091,0.0009910445678047836,3.397405935102142e-05,0.012958944799378515
34,0.013716234068572522,0.013242865351960063,0.0006902756803203375,5.430375136202201e-05,0.01249828588180244
35,0.013538702618330718,0.013015524098277092,0.0004349233619868755,5.1083625352475795e-05,0.012529517129063606
36,0.01369587485641241,0.012686999739333987,0.0003961003546603024,5.361926211044192e-05,0.012237280122935772
37,0.013567457707971334,0.012962270444631576,0.0004473891019821167,4.2023098876234146e-05,0.01247285824008286
38,0.013675825026631356,0.01418873616605997,0.0017449464609846472,0.00016090073920786382,0.012282888974249362
39,0.013406152471154929,0.013121481794491411,0.0008926380701363087,4.000786961987615e-05,0.012188835870660842
40,0.013626957859843969,0.012635476116091013,0.0003425467981491238,3.0636779498308894e-05,0.012262292503938078
41,0.013846460042893886,0.014842072963714599,0.0006824453047476708,8.73701746808365e-05,0.014072257488965989
42,0.013908291459828616,0.014119355145096778,0.00040195333398878577,0.0001122515297261998,0.01360515035390854
43,0.01359453575015068,0.013698113213479518,0.0005936648801900446,4.911174055887386e-05,0.01305533662289381
44,0.013624611732363701,0.014195147395133972,0.0010261094663292169,4.687485471949913e-05,0.013122163079679013
45,0.013582499998062849,0.013896432155370713,0.00043590971999801694,3.180016036494635e-05,0.013428722280263901
46,0.013445686177909375,0.013395805704593658,0.0006996520893648267,4.236663981573656e-05,0.01265378699451685
47,0.013436658448725939,0.01335789738446474,0.0005759593565016985,3.871345991210546e-05,0.012743224570155144
48,0.013501293095201254,0.01368893864005804,0.0010900982704013587,5.9926347399596125e-05,0.012538914041221141
49,0.01360919474773109,0.013751237118244171,0.0005784446386620403,6.200083723524586e-05,0.013110791620612145
50,0.013352157717943191,0.01385476875603199,0.0006208182475529611,0.0005046581478789448,0.012729292441904546
