epoca,train_loss,val_loss,val_env,val_truc,val_acc,lr
1,0.5079029624700546,0.1571106683254242,0.1320655795812607,0.0014300399893894791,0.01180752449631691,0.001
2,0.12036378147602081,0.09646672711372375,0.08750987250804901,0.0005943457463756204,0.004181254567205906,0.001
3,0.08318363038897514,0.06314560979008675,0.05872466660141945,0.0005167975269258022,0.0019520726136863231,0.001
4,0.03924612268954515,0.01807368138730526,0.01587580359727144,0.00030737701687030497,0.0009452503945678473,0.001
5,0.013089310886710882,0.011984365706145764,0.01057971012070775,0.00024200355773791672,0.0005813260233495384,0.001
6,0.008685855109989643,0.0070469378739595415,0.005849835371226073,0.00024259653077460824,0.0004772529805544764,0.001
7,0.006706991519778967,0.005400237375497818,0.004361097574234009,0.00016067363736219705,0.00043923308262601494,0.001
8,0.005375919831171632,0.0042441206023097035,0.002948195215687156,0.00044541789712384346,0.0004252537446562201,0.001
9,0.003975927374511957,0.0029760492887347936,0.0019065080605447293,0.00021494470832403748,0.00042729826378636065,0.001
10,0.0030114012390375137,0.0028858313150703905,0.002000552415847778,9.035842951852828e-05,0.00039746023514308033,0.001
11,0.002700204563699663,0.0021582554042339323,0.001153478804603219,0.00021691573457792402,0.00039393043131567536,0.001
12,0.00241287736762315,0.002722449181228876,0.001759681459516287,0.0001392190601211041,0.00041177433035336435,0.001
13,0.0022740403493866326,0.002083131169527769,0.0009068352663889527,0.0003636381129734218,0.00040632889401167634,0.001
14,0.0021194307366386054,0.0015782710243016482,0.0007984445630572736,3.657067979220301e-05,0.000371627891715616,0.001
15,0.002062790232524276,0.002400793803483248,0.0007098453261889517,0.0009071296829730272,0.00039190939390100536,0.001
16,0.0020037386752665043,0.002198028787970543,0.0013998563623055815,2.8907766996417194e-05,0.0003846323302946985,0.001
17,0.001877375357411802,0.001467863430455327,0.0005878009419888258,0.00011834680195897817,0.0003808578449767083,0.001
18,0.0017843672269955277,0.0012630967976525426,0.00038387464615516364,7.160773096838967e-05,0.0004038072109688073,0.001
19,0.0016648951397277415,0.0013291349418461324,0.0005008710856549441,5.1063427026383576e-05,0.0003886002147570252,0.001
20,0.0017658112602308392,0.001167487358674407,0.00032317632443737236,7.815799380186946e-05,0.00038307651826180515,0.001
21,0.0015048779676668346,0.0017638600228354335,0.0006205329950898886,0.00040748683968558905,0.0003679200948216021,0.001
22,0.0015173780691809951,0.0020989039840176704,0.001357274622656405,1.8313820363255218e-05,0.00036165777191054073,0.001
23,0.0016274658916518093,0.0011972560118883849,0.00047268344140611587,2.4758214512257837e-05,0.0003499071769881994,0.001
24,0.001583785016927868,0.0014203258231282234,0.0006728070450946689,6.204314624192194e-05,0.0003427378122229129,0.001
25,0.002297463816124946,0.0009540402068756521,0.00036277693239971997,3.641218628035858e-05,0.00027742554449941965,0.001
26,0.0011107322642579674,0.0009606101507321,0.00025433197785168884,2.6027298369444908e-05,0.00034012543819844724,0.001
27,0.0014712848874740302,0.001349993631988764,0.0006006523240357637,1.4523755495611112e-05,0.0003674087749328464,0.001
28,0.0013964796354994178,0.0031059630200266836,0.0021255567148327826,0.00012751561525510625,0.0004264453489333391,0.001
29,0.0015780946772545577,0.0011777918213978409,0.0003172668500803411,2.3243298256420532e-05,0.00041864083730615677,0.001
30,0.0011794293344020844,0.0011534958124160767,0.0003277349348179996,4.3318984319921586e-05,0.0003912209456320852,0.001
31,0.0013399277225136757,0.001133022902533412,0.00040719293318688867,2.68450749135809e-05,0.000349492448521778,0.0005
32,0.0008803859293460846,0.000839326904527843,0.0001588928933488205,8.591068546229508e-06,0.0003359214710537344,0.0005
33,0.0009334943163208663,0.0009171429702080786,0.00023407782674767077,6.525594385311706e-06,0.0003382697755470872,0.0005
34,0.0009699451680295169,0.0008572912909090519,0.00016390573272947223,2.950688971905038e-05,0.00033193933265283703,0.0005
35,0.000988577162567526,0.0009352062116377056,0.00024658890441060067,3.4477615793002766e-05,0.0003270698462147266,0.0005
36,0.0009783705749548972,0.0009639265542849898,0.00029681502517778425,7.83993489749264e-06,0.00032963579562492667,0.0005
37,0.0009776154859922827,0.0010717719951644539,0.0003979282689280808,1.1063606913376134e-05,0.00033139006164856254,0.0005
38,0.000983834363054484,0.0008706112905405461,0.00020557508531492203,9.127672830072697e-06,0.0003279542658710852,0.00025
39,0.0008134503081440926,0.0007984032018110156,0.00014493856951594352,6.971362429612782e-06,0.0003232466355664656,0.00025
40,0.0008247531953267753,0.0008640181134454906,0.0001946600844617933,6.378128506548819e-06,0.0003314899498131126,0.00025
41,0.000851666121929884,0.0008869571262039244,0.00017695559544954448,5.109174943208927e-06,0.00035244617890566586,0.00025
42,0.0008557836854830384,0.0008091647937893868,0.0001383254836080596,4.885032037418569e-06,0.0003329771385528147,0.00025
43,0.0008452271231450141,0.0008320740687660873,0.0001479846471454948,8.884656996815465e-06,0.00033760238336399197,0.00025
44,0.000848790786229074,0.000889174120221287,0.00018559712641872466,3.066088502528146e-05,0.000336458053952083,0.00025
45,0.0008376998358406127,0.0007926514676772058,0.00011615305650047959,5.567059294844512e-06,0.0003354656756855547,0.00025
46,0.000852329023834318,0.0008510889881290496,0.00013010708154179157,5.082038561522495e-06,0.00035794993336312473,0.00025
47,0.0008496881932020188,0.0008056962747126818,0.00012844890754204244,1.1540974999661558e-05,0.0003328531959094107,0.00025
48,0.000843785888608545,0.0008688335623592138,0.00012112914593890309,5.008914180507417e-06,0.0003713477514218539,0.00025
49,0.0008326953454874456,0.000824462166056037,0.00013189383128192275,5.85782163325348e-06,0.00034335525585338475,0.00025
50,0.000848591274395585,0.0007797546340152621,0.00011418120664311573,5.595674429787323e-06,0.00032998887645080687,0.00025
51,0.0008505589200183749,0.0008653826470486819,0.00012610217733308673,1.6445583346649075e-05,0.0003614174427930266,0.00025
52,0.0008430144650861621,0.0008542129499837756,0.000160380095965229,1.7025723049300724e-05,0.0003384035647381097,0.00025
53,0.0008270494027994574,0.00080669867079705,0.00011418496579863131,1.1735069996211677e-05,0.0003403893176931888,0.00025
54,0.0008338272214867175,0.000869750834070146,0.00014565109943505376,3.9282815955812114e-05,0.0003424084606580436,0.00025
55,0.0008370185921899975,0.0007715759836137295,0.00010085090659558773,7.4249222001526505e-06,0.000331650076713413,0.00025
56,0.0008337482944130898,0.0008060313773341477,0.00012811703095212578,8.811093684926164e-06,0.0003345516262110323,0.00025
57,0.0008412523274309934,0.000820131437573582,0.0001395123288501054,2.3983301734551787e-05,0.00032831790293566884,0.00025
58,0.0008367953132838011,0.0008471274458803237,0.0001282224089372903,1.1697617238678504e-05,0.00035360371046699586,0.00025
59,0.0008400693281553686,0.000809109434299171,9.812606151681393e-05,6.391233559406828e-06,0.0003522960694041103,0.00025
60,0.000833683555945754,0.000836750135011971,0.00012933464453089983,6.229118215560448e-06,0.0003505931871011853,0.00025
61,0.000837874827068299,0.0007995054066181182,0.00010019003619672731,1.6423503213445656e-05,0.00034144593433011323,0.000125
62,0.0007708966836333274,0.0008385200228542089,0.000163075816212222,6.535396367689827e-06,0.00033445440493524075,0.000125
63,0.000778158850595355,0.0007618304202333093,9.267470099730418e-05,3.979188366793096e-06,0.00033258826474193484,0.000125
64,0.0007790751365944743,0.0008792961128056049,0.00021229054015129805,8.13292296807049e-06,0.0003294363247929141,0.000125
65,0.0007830498144961893,0.0007776346144266426,0.00010972088472917676,5.17163371987408e-06,0.00033137104741763325,0.000125
66,0.0007873165141791106,0.0008027510453946889,0.00014459339866880328,4.140338599972893e-06,0.00032700865392107516,0.000125
67,0.0007849280743859709,0.0007837643960490823,0.00010676372272428125,1.5177308359125164e-05,0.00033091168240644036,0.000125
68,0.0007832449064590037,0.0007556386554613709,0.00010372930709272623,6.72966220008675e-06,0.0003225898414850235,0.000125
69,0.000779594378080219,0.0007883774353191256,0.00011999139129184186,9.062634503061417e-06,0.0003296617047395557,0.000125
70,0.0007808935355395079,0.0007569978659041226,9.588351754937321e-05,5.2025664845132265e-06,0.00032795589147135615,0.000125
71,0.0007831268695183099,0.0007465083197690547,9.144395592156797e-05,4.3934868663200175e-06,0.0003253354387357831,0.000125
72,0.000781470938399434,0.0007970954405143857,0.0001264064050046727,1.5024730082950556e-05,0.0003278321531368419,0.000125
73,0.0007801702858880162,0.0007572678063064814,9.020578126655891e-05,3.629247001663316e-06,0.0003317163890227675,0.000125
74,0.0007826724220067262,0.0007676037020981312,0.00010185428108088672,4.793665637407685e-06,0.0003304778769379482,0.000125
75,0.0007705316136591136,0.000777420793287456,8.904160141246393e-05,3.2564210661803374e-06,0.0003425613848026842,0.000125
76,0.0007853024411015213,0.0007541149454191327,9.517966443672776e-05,3.3187542645464417e-06,0.00032780826343223454,0.000125
77,0.000776065194234252,0.000759320200420916,9.784862295491621e-05,4.992697961279191e-06,0.000328239439916797,6.25e-05
